Date : 2025-01-12 10:23:34
Directory : e:\Workspace\ItBuild\studio-frontend
Total : 104 files,  18216 codes, 302 comments, 1006 blanks, all 19524 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\components\dropdown                                                          |          1 |         47 |          0 |          7 |         54 |
| src\components\icons                                                             |          1 |         89 |          1 |         18 |        108 |
| src\components\loading                                                           |          2 |         55 |          0 |         11 |         66 |
| src\components\template                                                          |          2 |         63 |          0 |         13 |         76 |
| src\components\time                                                              |          1 |         22 |          0 |          1 |         23 |
| src\data                                                                         |          4 |        215 |          7 |         35 |        257 |
| src\data\context                                                                 |          1 |        188 |          7 |         26 |        221 |
| src\data\hooks                                                                   |          3 |         27 |          0 |          9 |         36 |
| src\json                                                                         |          2 |        120 |          0 |          0 |        120 |
| src\model                                                                        |          3 |         16 |          0 |          1 |         17 |
| src\styles                                                                       |         15 |        472 |          1 |         87 |        560 |
| src\types                                                                        |          6 |         54 |          0 |          3 |         57 |
| src\utils                                                                        |          4 |         73 |          0 |         11 |         84 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                         | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\Workspace\ItBuild\studio-frontend\.env                                        | Properties         |          6 |         13 |          1 |         20 |
| e:\Workspace\ItBuild\studio-frontend\.eslintrc.json                              | JSON               |          3 |          0 |          1 |          4 |
| e:\Workspace\ItBuild\studio-frontend\README.md                                   | Markdown           |         23 |          0 |         14 |         37 |
| e:\Workspace\ItBuild\studio-frontend\core\Class.ts                               | TypeScript         |        112 |          0 |         12 |        124 |
| e:\Workspace\ItBuild\studio-frontend\core\ClassRepository.ts                     | TypeScript         |         38 |          0 |          5 |         43 |
| e:\Workspace\ItBuild\studio-frontend\core\DropDowns.ts                           | TypeScript         |         30 |          0 |          5 |         35 |
| e:\Workspace\ItBuild\studio-frontend\core\DropDownsRepository.ts                 | TypeScript         |          4 |          0 |          1 |          5 |
| e:\Workspace\ItBuild\studio-frontend\core\Financial.ts                           | TypeScript         |         43 |          0 |          7 |         50 |
| e:\Workspace\ItBuild\studio-frontend\core\FinancialRepository.ts                 | TypeScript         |          4 |          0 |          2 |          6 |
| e:\Workspace\ItBuild\studio-frontend\core\FrequencyStudents.ts                   | TypeScript         |         50 |          0 |          7 |         57 |
| e:\Workspace\ItBuild\studio-frontend\core\FrequencyStudentsRepository.ts         | TypeScript         |          7 |          0 |          2 |          9 |
| e:\Workspace\ItBuild\studio-frontend\core\Persons.ts                             | TypeScript         |        164 |          0 |         11 |        175 |
| e:\Workspace\ItBuild\studio-frontend\core\PersonsRepository.ts                   | TypeScript         |         58 |          0 |          2 |         60 |
| e:\Workspace\ItBuild\studio-frontend\core\Place.ts                               | TypeScript         |         77 |          0 |         10 |         87 |
| e:\Workspace\ItBuild\studio-frontend\core\PlaceRepository.ts                     | TypeScript         |         17 |          0 |          2 |         19 |
| e:\Workspace\ItBuild\studio-frontend\core\Product.ts                             | TypeScript         |         93 |          0 |         10 |        103 |
| e:\Workspace\ItBuild\studio-frontend\core\ProductRepository.ts                   | TypeScript         |         25 |          0 |          2 |         27 |
| e:\Workspace\ItBuild\studio-frontend\core\ProductType.ts                         | TypeScript         |         77 |          0 |         10 |         87 |
| e:\Workspace\ItBuild\studio-frontend\core\ProductTypeRepository.ts               | TypeScript         |         17 |          0 |          2 |         19 |
| e:\Workspace\ItBuild\studio-frontend\core\TotalSales.ts                          | TypeScript         |         48 |          0 |          7 |         55 |
| e:\Workspace\ItBuild\studio-frontend\core\TotalSalesRepository.ts                | TypeScript         |          6 |          0 |          2 |          8 |
| e:\Workspace\ItBuild\studio-frontend\next.config.mjs                             | JavaScript         |          4 |          1 |          3 |          8 |
| e:\Workspace\ItBuild\studio-frontend\package-lock.json                           | JSON               |      9,814 |          0 |          1 |      9,815 |
| e:\Workspace\ItBuild\studio-frontend\package.json                                | JSON               |         33 |          0 |          1 |         34 |
| e:\Workspace\ItBuild\studio-frontend\postcss.config.mjs                          | JavaScript         |          6 |          1 |          2 |          9 |
| e:\Workspace\ItBuild\studio-frontend\public\images\bike_avaliable.svg            | XML                |          3 |          0 |          1 |          4 |
| e:\Workspace\ItBuild\studio-frontend\public\images\bike_busy.svg                 | XML                |          3 |          0 |          1 |          4 |
| e:\Workspace\ItBuild\studio-frontend\public\images\bike_disable.svg              | XML                |          3 |          0 |          1 |          4 |
| e:\Workspace\ItBuild\studio-frontend\public\next.svg                             | XML                |          1 |          0 |          0 |          1 |
| e:\Workspace\ItBuild\studio-frontend\public\vercel.svg                           | XML                |          1 |          0 |          0 |          1 |
| e:\Workspace\ItBuild\studio-frontend\src\app\[...notFound]\page.tsx              | TypeScript JSX     |         19 |          0 |          2 |         21 |
| e:\Workspace\ItBuild\studio-frontend\src\app\administrativo\page.tsx             | TypeScript JSX     |        458 |          3 |         52 |        513 |
| e:\Workspace\ItBuild\studio-frontend\src\app\alunos\cadastrar\page.tsx           | TypeScript JSX     |        521 |         18 |         47 |        586 |
| e:\Workspace\ItBuild\studio-frontend\src\app\alunos\editar\[slug]\page.tsx       | TypeScript JSX     |        554 |          4 |         47 |        605 |
| e:\Workspace\ItBuild\studio-frontend\src\app\alunos\page.tsx                     | TypeScript JSX     |        237 |          3 |         35 |        275 |
| e:\Workspace\ItBuild\studio-frontend\src\app\aulas\cadastrar\page.tsx            | TypeScript JSX     |        314 |         33 |         38 |        385 |
| e:\Workspace\ItBuild\studio-frontend\src\app\aulas\editar\[slug]\page.tsx        | TypeScript JSX     |        357 |         91 |         37 |        485 |
| e:\Workspace\ItBuild\studio-frontend\src\app\aulas\page.tsx                      | TypeScript JSX     |        183 |          0 |         20 |        203 |
| e:\Workspace\ItBuild\studio-frontend\src\app\dashboard\page.tsx                  | TypeScript JSX     |        342 |          6 |         36 |        384 |
| e:\Workspace\ItBuild\studio-frontend\src\app\financeiro\page.tsx                 | TypeScript JSX     |        165 |          2 |         19 |        186 |
| e:\Workspace\ItBuild\studio-frontend\src\app\funcionarios\cadastrar\page.tsx     | TypeScript JSX     |        511 |         28 |         50 |        589 |
| e:\Workspace\ItBuild\studio-frontend\src\app\funcionarios\editar\[slug]\page.tsx | TypeScript JSX     |        512 |         33 |         46 |        591 |
| e:\Workspace\ItBuild\studio-frontend\src\app\funcionarios\page.tsx               | TypeScript JSX     |        233 |          2 |         34 |        269 |
| e:\Workspace\ItBuild\studio-frontend\src\app\globals.css                         | CSS                |        357 |         10 |         69 |        436 |
| e:\Workspace\ItBuild\studio-frontend\src\app\layout.tsx                          | TypeScript JSX     |         18 |          5 |          6 |         29 |
| e:\Workspace\ItBuild\studio-frontend\src\app\page.tsx                            | TypeScript JSX     |         74 |          1 |          7 |         82 |
| e:\Workspace\ItBuild\studio-frontend\src\app\produtos\page.tsx                   | TypeScript JSX     |        408 |         12 |         44 |        464 |
| e:\Workspace\ItBuild\studio-frontend\src\app\recuperar-senha\page.tsx            | TypeScript JSX     |         71 |          2 |          5 |         78 |
| e:\Workspace\ItBuild\studio-frontend\src\app\resetar-senha\[slug]\page.tsx       | TypeScript JSX     |        163 |          4 |         18 |        185 |
| e:\Workspace\ItBuild\studio-frontend\src\components\BikeView\BikeView.tsx        | TypeScript JSX     |         66 |          2 |         10 |         78 |
| e:\Workspace\ItBuild\studio-frontend\src\components\Card\Card.tsx                | TypeScript JSX     |         47 |          0 |          5 |         52 |
| e:\Workspace\ItBuild\studio-frontend\src\components\Header\Header.tsx            | TypeScript JSX     |         31 |          0 |          3 |         34 |
| e:\Workspace\ItBuild\studio-frontend\src\components\MenuSideBar\MenuItem.tsx     | TypeScript JSX     |         40 |         15 |          7 |         62 |
| e:\Workspace\ItBuild\studio-frontend\src\components\MenuSideBar\MenuSideBar.tsx  | TypeScript JSX     |         50 |          0 |          8 |         58 |
| e:\Workspace\ItBuild\studio-frontend\src\components\Modal\Modal.tsx              | TypeScript JSX     |         80 |          0 |          2 |         82 |
| e:\Workspace\ItBuild\studio-frontend\src\components\Table\Table.tsx              | TypeScript JSX     |         85 |          0 |          2 |         87 |
| e:\Workspace\ItBuild\studio-frontend\src\components\auth\AuthInput.tsx           | TypeScript JSX     |        121 |          4 |         16 |        141 |
| e:\Workspace\ItBuild\studio-frontend\src\components\auth\AuthSelect.tsx          | TypeScript JSX     |         51 |          0 |          6 |         57 |
| e:\Workspace\ItBuild\studio-frontend\src\components\auth\AuthSelectMulti.tsx     | TypeScript JSX     |         28 |          0 |          5 |         33 |
| e:\Workspace\ItBuild\studio-frontend\src\components\date\SingleCalendar.tsx      | TypeScript JSX     |         43 |          0 |          6 |         49 |
| e:\Workspace\ItBuild\studio-frontend\src\components\date\TimePickerCalendar.tsx  | TypeScript JSX     |         36 |          0 |          9 |         45 |
| e:\Workspace\ItBuild\studio-frontend\src\components\dropdown\DropDown.tsx        | TypeScript JSX     |         47 |          0 |          7 |         54 |
| e:\Workspace\ItBuild\studio-frontend\src\components\icons\index.tsx              | TypeScript JSX     |         89 |          1 |         18 |        108 |
| e:\Workspace\ItBuild\studio-frontend\src\components\loading\Loading.module.css   | CSS                |         42 |          0 |          3 |         45 |
| e:\Workspace\ItBuild\studio-frontend\src\components\loading\Loading.tsx          | TypeScript JSX     |         13 |          0 |          8 |         21 |
| e:\Workspace\ItBuild\studio-frontend\src\components\template\auth.tsx            | TypeScript JSX     |         23 |          0 |          4 |         27 |
| e:\Workspace\ItBuild\studio-frontend\src\components\template\default.tsx         | TypeScript JSX     |         40 |          0 |          9 |         49 |
| e:\Workspace\ItBuild\studio-frontend\src\components\time\time.tsx                | TypeScript JSX     |         22 |          0 |          1 |         23 |
| e:\Workspace\ItBuild\studio-frontend\src\data\context\AuthContext.tsx            | TypeScript JSX     |        188 |          7 |         26 |        221 |
| e:\Workspace\ItBuild\studio-frontend\src\data\hooks\useAuthData.tsx              | TypeScript JSX     |          4 |          0 |          2 |          6 |
| e:\Workspace\ItBuild\studio-frontend\src\data\hooks\useConvertDate.tsx           | TypeScript JSX     |          4 |          0 |          1 |          5 |
| e:\Workspace\ItBuild\studio-frontend\src\data\hooks\useWindowSize.ts             | TypeScript         |         19 |          0 |          6 |         25 |
| e:\Workspace\ItBuild\studio-frontend\src\json\country.json                       | JSON               |          8 |          0 |          0 |          8 |
| e:\Workspace\ItBuild\studio-frontend\src\json\states.json                        | JSON               |        112 |          0 |          0 |        112 |
| e:\Workspace\ItBuild\studio-frontend\src\model\Dropdown.ts                       | TypeScript         |          4 |          0 |          0 |          4 |
| e:\Workspace\ItBuild\studio-frontend\src\model\Select.ts                         | TypeScript         |          4 |          0 |          0 |          4 |
| e:\Workspace\ItBuild\studio-frontend\src\model\User.ts                           | TypeScript         |          8 |          0 |          1 |          9 |
| e:\Workspace\ItBuild\studio-frontend\src\styles\administrative.module.css        | CSS                |         13 |          0 |          3 |         16 |
| e:\Workspace\ItBuild\studio-frontend\src\styles\card.module.css                  | CSS                |         26 |          0 |          4 |         30 |
| e:\Workspace\ItBuild\studio-frontend\src\styles\class.module.css                 | CSS                |          0 |          0 |          1 |          1 |
| e:\Workspace\ItBuild\studio-frontend\src\styles\dashboard.module.css             | CSS                |         15 |          0 |          5 |         20 |
| e:\Workspace\ItBuild\studio-frontend\src\styles\dropdown.module.css              | CSS                |         36 |          1 |          6 |         43 |
| e:\Workspace\ItBuild\studio-frontend\src\styles\financial.module.css             | CSS                |          0 |          0 |          1 |          1 |
| e:\Workspace\ItBuild\studio-frontend\src\styles\header.module.css                | CSS                |         84 |          0 |         16 |        100 |
| e:\Workspace\ItBuild\studio-frontend\src\styles\login.module.css                 | CSS                |         49 |          0 |          8 |         57 |
| e:\Workspace\ItBuild\studio-frontend\src\styles\menu.module.css                  | CSS                |         88 |          0 |         15 |        103 |
| e:\Workspace\ItBuild\studio-frontend\src\styles\modal.module.css                 | CSS                |         65 |          0 |         10 |         75 |
| e:\Workspace\ItBuild\studio-frontend\src\styles\notfound.module.css              | CSS                |         61 |          0 |          8 |         69 |
| e:\Workspace\ItBuild\studio-frontend\src\styles\products.module.css              | CSS                |          0 |          0 |          1 |          1 |
| e:\Workspace\ItBuild\studio-frontend\src\styles\students.module.css              | CSS                |          0 |          0 |          1 |          1 |
| e:\Workspace\ItBuild\studio-frontend\src\styles\table.module.css                 | CSS                |         35 |          0 |          7 |         42 |
| e:\Workspace\ItBuild\studio-frontend\src\styles\teachers.module.css              | CSS                |          0 |          0 |          1 |          1 |
| e:\Workspace\ItBuild\studio-frontend\src\types\auth.ts                           | TypeScript         |          5 |          0 |          0 |          5 |
| e:\Workspace\ItBuild\studio-frontend\src\types\btn.ts                            | TypeScript         |          5 |          0 |          0 |          5 |
| e:\Workspace\ItBuild\studio-frontend\src\types\class.ts                          | TypeScript         |         15 |          0 |          1 |         16 |
| e:\Workspace\ItBuild\studio-frontend\src\types\financial.ts                      | TypeScript         |          0 |          0 |          1 |          1 |
| e:\Workspace\ItBuild\studio-frontend\src\types\persons.ts                        | TypeScript         |         24 |          0 |          1 |         25 |
| e:\Workspace\ItBuild\studio-frontend\src\types\table.ts                          | TypeScript         |          5 |          0 |          0 |          5 |
| e:\Workspace\ItBuild\studio-frontend\src\utils\actionTable.tsx                   | TypeScript JSX     |         20 |          0 |          4 |         24 |
| e:\Workspace\ItBuild\studio-frontend\src\utils\formatterText.tsx                 | TypeScript JSX     |          3 |          0 |          0 |          3 |
| e:\Workspace\ItBuild\studio-frontend\src\utils\getDatesOfWeek.tsx                | TypeScript JSX     |         12 |          0 |          3 |         15 |
| e:\Workspace\ItBuild\studio-frontend\src\utils\searchCEP.tsx                     | TypeScript JSX     |         38 |          0 |          4 |         42 |
| e:\Workspace\ItBuild\studio-frontend\tailwind.config.ts                          | TypeScript         |         19 |          0 |          2 |         21 |
| e:\Workspace\ItBuild\studio-frontend\tsconfig.json                               | JSON with Comments |         26 |          0 |          1 |         27 |
| Total                                                                            |                    |     18,216 |        302 |      1,006 |     19,524 |
+----------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
